YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS2M,PS,RH2M,T2M,SNODP,TS,WD10M,T2MDEW,PRECTOTCORR
2001,1,1,0,0.0,2.43,101.46,100.0,-1.5,0.06,0.01,340.9,-1.09,0.0
2001,1,1,1,0.0,2.35,101.48,100.0,-1.48,0.15,0.21,356.6,-1.18,0.0
2001,1,1,2,0.0,2.45,101.5,100.0,-1.42,0.58,0.35,11.4,-1.2,0.0
2001,1,1,3,0.0,2.47,101.54,100.0,-1.52,1.08,0.16,21.8,-1.15,0.0
2001,1,1,4,0.0,2.3,101.57,100.0,-1.44,0.98,0.3,33.8,-1.08,0.0
2001,1,1,5,0.0,2.14,101.61,100.0,-1.31,1.31,0.44,47.0,-0.96,0.0
2001,1,1,6,0.13,2.31,101.63,96.54,-0.13,4.59,2.12,55.2,-0.69,0.0
2001,1,1,7,0.44,3.04,101.64,87.26,1.44,8.39,4.1,57.4,-0.48,0.01
2001,1,1,8,0.71,3.21,101.62,75.64,2.93,9.83,5.39,63.1,-0.94,0.03
2001,1,1,9,0.86,3.41,101.57,68.5,4.0,5.07,6.21,69.0,-1.26,0.16
2001,1,1,10,0.84,3.33,101.53,65.76,4.41,0.0,6.1,72.4,-1.42,0.43
2001,1,1,11,0.68,3.06,101.51,67.23,4.3,0.0,5.39,70.8,-1.21,0.73
2001,1,1,12,0.45,2.82,101.49,70.45,4.0,0.0,4.76,65.8,-0.84,1.02
2001,1,1,13,0.18,2.53,101.5,74.75,3.36,1.77,3.84,58.8,-0.65,1.37
2001,1,1,14,0.0,2.7,101.52,77.19,2.87,4.62,3.33,53.2,-0.72,1.81
2001,1,1,15,0.0,3.17,101.54,78.34,2.86,4.62,3.42,53.1,-0.52,2.2
2001,1,1,16,0.0,3.61,101.54,80.41,2.8,9.48,3.44,57.5,-0.24,2.49
2001,1,1,17,0.0,3.77,101.52,82.45,2.71,17.33,3.43,64.5,0.0,3.34
2001,1,1,18,0.0,3.74,101.49,84.29,2.58,17.33,3.38,71.4,0.19,3.19
2001,1,1,19,0.0,3.57,101.48,86.24,2.44,17.33,3.32,74.0,0.38,4.8
