YEAR,MO,DY,HR,RH2M,PS,SNODP,T2M,WS2M,WD10M,TS,ALLSKY_SFC_SW_DWN,T2MDEW,PRECTOTCORR
2015,1,1,0,100.0,102.73,23.29,-15.27,2.69,353.2,-14.73,0.0,-14.59,0.03
2015,1,1,1,100.0,102.69,23.27,-15.11,2.61,344.9,-14.82,0.0,-14.48,0.03
2015,1,1,2,100.0,102.64,23.26,-15.35,2.55,332.9,-14.92,0.0,-14.23,0.03
2015,1,1,3,100.0,102.61,23.25,-15.9,2.59,322.2,-14.64,0.0,-14.16,0.07
2015,1,1,4,100.0,102.59,23.24,-15.75,2.6,314.4,-13.31,0.0,-14.27,0.15
2015,1,1,5,100.0,102.58,23.23,-15.03,2.63,306.8,-12.08,0.0,-13.97,0.13
2015,1,1,6,100.0,102.57,23.22,-14.02,2.93,300.6,-10.65,0.17,-13.26,0.12
2015,1,1,7,100.0,102.55,23.21,-12.27,3.6,295.7,-8.49,0.44,-11.94,0.07
2015,1,1,8,100.0,102.53,23.19,-10.6,3.56,290.7,-6.79,0.75,-10.64,0.01
2015,1,1,9,100.0,102.44,23.15,-8.87,3.49,286.9,-5.26,0.84,-9.31,0.0
2015,1,1,10,97.15,102.33,23.11,-7.17,3.47,284.3,-4.04,0.77,-8.08,0.0
2015,1,1,11,94.74,102.24,23.07,-5.88,3.49,281.1,-3.28,0.71,-6.99,0.0
2015,1,1,12,92.96,102.19,23.03,-4.98,3.38,281.2,-3.05,0.44,-6.31,0.0
2015,1,1,13,93.99,102.17,23.0,-4.96,2.99,279.8,-3.69,0.16,-6.18,0.01
2015,1,1,14,95.04,102.15,22.98,-5.66,2.96,280.2,-4.94,0.0,-6.79,0.03
2015,1,1,15,95.07,102.15,22.97,-5.77,3.1,281.3,-5.23,0.0,-6.87,0.07
2015,1,1,16,95.06,102.15,22.95,-5.35,3.19,281.7,-4.81,0.0,-6.45,0.2
2015,1,1,17,95.26,102.15,22.94,-4.77,3.27,283.3,-4.15,0.0,-5.85,0.34
2015,1,1,18,95.01,102.13,22.93,-4.26,3.24,286.1,-3.62,0.0,-5.3,0.44
2015,1,1,19,95.54,102.11,22.92,-4.0,3.08,287.9,-3.38,0.0,-4.95,0.45
2015,1,1,20,96.58,102.1,22.92,-3.81,2.95,289.6,-3.22,0.0,-4.65,0.73
2015,1,1,21,96.9,102.08,22.93,-3.54,2.8,290.4,-2.95,0.0,-4.29,1.29
2015,1,1,22,97.5,102.05,22.95,-3.27,2.63,288.6,-2.67,0.0,-3.93,1.84
2015,1,1,23,97.37,102.03,22.99,-2.92,2.56,286.2,-2.32,0.0,-3.55,1.99
2015,1,2,0,97.19,102.01,23.02,-2.49,2.56,284.5,-1.93,0.0,-3.12,2.08
2015,1,2,1,97.13,101.98,23.06,-2.05,2.62,285.1,-1.54,0.0,-2.67,2.18
2015,1,2,2,96.86,101.94,23.09,-1.56,2.78,289.4,-1.11,0.0,-2.17,2.07
2015,1,2,3,96.22,101.92,23.12,-0.93,3.1,298.1,-0.54,0.0,-1.56,1.47
2015,1,2,4,95.5,101.91,23.12,-0.31,3.4,307.7,0.0,0.0,-0.95,0.86
2015,1,2,5,95.22,101.91,23.1,0.04,3.49,316.6,0.25,0.0,-0.61,0.31
