YEAR,MO,DY,HR,PS,TS,SNODP,WD10M,ALLSKY_SFC_SW_DWN,RH2M,T2MDEW,WS2M,T2M,PRECTOTCORR
2020,1,1,0,101.08,1.32,17.33,299.2,0.0,94.57,-0.55,5.74,0.25,0.02
2020,1,1,1,101.06,1.37,17.33,297.5,0.0,96.6,-0.31,5.85,0.18,0.05
2020,1,1,2,101.06,1.66,17.33,301.2,0.0,97.59,0.11,6.25,0.48,0.1
2020,1,1,3,101.1,1.99,17.33,306.7,0.0,98.25,0.63,6.62,0.89,0.13
2020,1,1,4,101.19,2.23,17.33,310.0,0.0,98.57,0.89,6.71,1.1,0.13
2020,1,1,5,101.27,2.34,17.33,311.1,0.0,98.11,0.96,6.63,1.21,0.13
2020,1,1,6,101.35,2.89,17.33,311.9,0.16,96.02,1.04,6.73,1.59,0.08
2020,1,1,7,101.42,4.04,12.5,315.7,0.44,90.09,1.19,6.87,2.63,0.06
2020,1,1,8,101.48,5.21,12.48,325.3,0.71,80.42,0.94,7.41,4.0,0.11
2020,1,1,9,101.49,5.79,12.48,336.2,0.74,71.86,0.23,7.75,4.88,0.48
2020,1,1,10,101.5,6.12,12.48,342.4,0.64,65.97,-0.51,7.57,5.34,0.55
2020,1,1,11,101.53,6.19,12.48,344.3,0.54,62.17,-1.03,7.26,5.63,0.38
2020,1,1,12,101.6,5.66,12.48,344.1,0.36,61.25,-1.34,6.88,5.52,0.25
2020,1,1,13,101.68,4.74,12.48,343.7,0.13,63.68,-1.38,6.28,4.89,0.1
2020,1,1,14,101.8,3.89,12.48,343.7,0.0,68.5,-1.27,5.73,3.99,0.03
2020,1,1,15,101.91,3.18,12.48,343.7,0.0,72.53,-1.44,5.56,3.03,0.01
2020,1,1,16,102.03,1.96,12.48,342.8,0.0,78.31,-1.82,5.3,1.55,0.0
2020,1,1,17,102.14,1.19,12.49,341.3,0.0,84.24,-2.15,5.28,0.21,0.0
2020,1,1,18,102.23,0.54,12.48,341.6,0.0,89.85,-2.46,5.22,-0.89,0.0
2020,1,1,19,102.29,0.11,12.48,343.7,0.0,92.46,-2.84,5.14,-1.58,0.0
2020,1,1,20,102.34,-0.21,12.48,345.7,0.0,92.71,-3.26,4.98,-2.01,0.0
2020,1,1,21,102.35,-0.62,12.48,347.0,0.0,94.07,-3.55,4.41,-2.43,0.0
2020,1,1,22,102.37,-0.84,12.49,350.5,0.0,92.95,-3.84,3.96,-2.58,0.0
2020,1,1,23,102.41,-0.91,12.5,350.7,0.0,92.87,-3.93,3.76,-2.65,0.0
